iter	Passed	Remaining
168	2045	10058
169	2057	10044
170	2069	10030
171	2080	10013
172	2092	10001
173	2102	9981
174	2114	9968
175	2127	9959
176	2139	9949
177	2153	9944
178	2165	9933
179	2177	9921
180	2189	9905
181	2200	9890
182	2212	9877
183	2224	9863
184	2238	9859
185	2250	9848
186	2263	9839
187	2275	9828
188	2286	9809
189	2298	9798
190	2310	9787
191	2323	9779
192	2335	9766
193	2348	9755
194	2360	9744
195	2373	9734
196	2384	9720
197	2395	9704
198	2408	9692
199	2419	9678
200	2431	9665
201	2442	9649
202	2454	9635
203	2466	9623
204	2477	9607
205	2488	9593
206	2501	9582
207	2512	9566
208	2523	9552
209	2537	9546
210	2548	9531
211	2561	9519
212	2573	9506
213	2583	9490
214	2596	9478
215	2608	9466
216	2621	9458
217	2633	9445
218	2645	9435
219	2658	9424
220	2670	9411
221	2682	9399
222	2696	9395
223	2707	9380
224	2719	9365
225	2729	9349
226	2742	9337
227	2754	9325
228	2767	9317
229	2779	9303
230	2791	9293
231	2804	9282
232	2815	9266
233	2826	9253
234	2838	9238
235	2850	9226
236	2861	9212
237	2874	9203
238	2886	9192
239	2899	9180
240	2911	9170
241	2923	9156
242	2935	9145
243	2947	9131
244	2959	9118
245	2970	9104
246	2984	9098
247	2995	9083
248	3007	9069
249	3017	9053
250	3029	9041
251	3041	9029
252	3053	9015
253	3065	9003
254	3077	8990
255	3089	8977
256	3103	8972
257	3116	8962
258	3128	8950
259	3139	8935
260	3150	8921
261	3161	8906
262	3173	8893
263	3185	8879
264	3197	8868
265	3211	8863
266	3223	8849
267	3235	8836
268	3246	8821
269	3258	8811
270	3270	8798
271	3282	8785
272	3294	8771
273	3306	8760
274	3318	8748
275	3331	8738
276	3343	8726
277	3355	8714
278	3367	8702
279	3380	8691
280	3391	8678
281	3403	8665
282	3415	8653
283	3427	8641
284	3439	8629
285	3451	8617
286	3463	8604
287	3475	8592
288	3486	8578
289	3497	8563
290	3508	8547
291	3521	8537
292	3533	8525
293	3545	8512
294	3556	8500
295	3568	8486
296	3580	8474
297	3592	8462
298	3604	8449
299	3616	8438
300	3628	8426
301	3640	8413
302	3651	8399
303	3662	8385
304	3673	8370
305	3684	8356
306	3697	8345
307	3708	8332
308	3721	8321
309	3735	8314
310	3749	8306
311	3764	8300
312	3778	8293
313	3791	8284
314	3805	8274
315	3820	8269
316	3834	8261
317	3849	8255
318	3861	8242
319	3874	8232
320	3885	8219
321	3898	8207
322	3911	8197
323	3923	8185
324	3935	8174
325	3948	8163
326	3961	8152
327	3973	8140
328	3985	8128
329	3998	8118
330	4010	8106
331	4025	8098
332	4037	8088
333	4050	8076
334	4063	8065
335	4076	8055
336	4089	8045
337	4102	8035
338	4115	8023
339	4127	8012
340	4138	7997
341	4148	7982
342	4159	7968
343	4171	7954
344	4183	7942
345	4194	7929
346	4207	7917
347	4219	7905
348	4231	7893
349	4242	7879
350	4254	7866
351	4265	7851
352	4278	7841
353	4289	7827
354	4301	7816
355	4314	7804
356	4326	7792
357	4337	7777
358	4348	7764
359	4359	7750
360	4371	7737
361	4383	7725
362	4396	7714
363	4407	7701
364	4418	7687
365	4430	7675
366	4442	7661
367	4453	7648
368	4464	7634
369	4475	7620
370	4486	7607
371	4498	7593
372	4510	7581
373	4521	7568
374	4534	7557
375	4545	7543
376	4556	7529
377	4568	7517
378	4580	7505
379	4593	7495
380	4606	7483
381	4617	7470
382	4629	7458
383	4640	7443
384	4651	7429
385	4663	7417
386	4676	7407
387	4688	7395
388	4700	7383
389	4713	7371
390	4725	7359
391	4736	7346
392	4747	7332
393	4758	7319
394	4770	7307
395	4783	7295
396	4795	7283
397	4806	7270
398	4818	7257
399	4829	7244
400	4841	7231
401	4852	7218
402	4864	7206
403	4875	7192
404	4887	7180
405	4899	7168
406	4910	7155
407	4922	7142
408	4933	7128
409	4945	7116
